inputs,labels
"The 26-year-old GlenDronach single malt whisky was bottled in 2012 to mark the opening of Trump International Golf Links in Aberdeenshire. A Canadian bidder paid more than twice the estimated price to secure the bottle at the auction of rare whiskies. A bottle of 52-year-old Macallan 1950 fetched £10,000, while a bottle of the Black Bowmore  went for £5,200. Laurie Black, whisky expert at McTear's auctioneers, said: There was a huge amount of interest in the bottle and we were delighted with the final price, which was several times more than previous Trump bottles have sold for. The GlenDronach is a stunning whisky in its own right, however, the Trump connection gave this particular bottle a presidential boost.","A rare bottle of whisky signed by US president elect Donald Trump has sold for £6,000 at auction in Glasgow."
But not moving and always keeping to old things cannot improve a persons life . ,But not moving and always keeping to old ways can not improve a persons life . 
"Initial attempts to free the animal by slathering him in olive oil failed, with his huge behind preventing him from squeezing his way out. He was finally freed after animal rescue services lifted off the cover and eased his head through the hole. Locals have nicknamed the squirrel Olivio after his oily encounter. After the ordeal on Friday, an exhausted Olivio was wrapped in a warm towel and fed glucose, local media report. Man rescued from inside public toilet Squirrel causes major power cut Staff at a local animal shelter say Olivio is recovering well and has now moved on to a diet of Christmas nuts. He was almost dead, Sabine Gallenberger from the Squirrel Protection Association told German media. Now he is eating a lot and sleeps all the time. The BBC was unable to verify the size of Olivio's behind.",A red squirrel who got stuck halfway through a manhole cover thanks to his curvy hips is recovering after a lengthy rescue operation in Munich.
"Gray was a Scotland age-grade international and worked for Scottish Rugby in various coaching roles between 1994 and 2006. He said working with the senior team is something special indeed. Head coach Vern Cotter added: We're looking forward to adding his experience and passion to the group. Scotland begin the tournament at home to England on 6 February then visit Wales and Italy before hosting France and finishing in Ireland. Elaborating on his new role, Gray commented: The defensive breakdown is an area highlighted by the coaches as an area for improvement, for which I've been given a very specific brief to work alongside defence coach Matt Taylor for the seven-week period of the Six Nations. It's a great honour and I'm looking forward to joining up with the squad in camp in St Andrews this Sunday.",Richie Gray has joined Scotland's Six Nations backroom staff as a consultant after three years as South Africa's specialist breakdown coach.
"The graduates were seen driving a convoy of black Mercedes jeeps noisily through Moscow last month, blocking traffic and hanging out of the windows. Some veteran Russian spies have said such behaviour amounted to treason. The FSB says those involved will have the conditions of their service changed, without elaborating further. In a statement (in Russian), it also says some of the FSB Academy's senior officers have already been demoted and some will be sacked. The immodest, demonstrative behaviour linked to the short-term rentals from a luxury car company sparked justified indignation among citizens and strong condemnation from the community of military security bodies. Footage of the celebration was posted online shortly after the incident, attracting hundreds of thousands of viewers. The FSB is the main successor of the Soviet KGB. The agency's powers and budget have risen significantly under President Vladimir Putin - himself a former KGB officer.",Russia's FSB security service says it will punish a group of new agents who allowed themselves to be photographed lavishly celebrating their graduation.
"Police said accelerant was poured through the letter box of a house at St Agnes Place and set alight at about 22:30 BST on Wednesday. The fire was put out before emergency services arrived. It damaged the front door and caused some smoke damage to the house. The children, and two women aged 23 and 61, were unharmed. Police said they are working to establish a motive for the attack and want to hear from witnesses. Detectives can be contacted at Musgrave Police Station by calling 101.",Three children aged between four and six and two women have escaped injury in an arson attack in west Belfast.
"21 October 2016 Last updated at 19:29 BST The EU was not capable of signing a trade agreement with Canada she said after the collapse of talks on a wide-ranging deal. Negotiations have dragged on for seven years, but in the end a Belgian region - population 3.6 million - blocked an accord which stands to affect hundreds of millions of people.",Canadian Trade Minister Chrystia Freeland was choking back tears as reporters cornered her in Brussels.
"Representatives from the west of Norway have been in the isles to discuss how expertise can be shared. They believe knowledge built up in Scandinavia through work in the oil and gas sector could prove key to the next stage in developing technologies. Orkney is a major Scottish hub for renewables. In January, plans for a Â£6.5m research and innovation campus in Stromness in Orkney took a step forward after the organisations driving the project agreed funding. Highlands and Islands Enterprise and Orkney Islands Council are behind the venture. The campus is aimed at supporting sectors including marine renewables.",A partnership is being formed between the energy sectors in Orkney and Norway to look at ways they can work together to develop marine renewables.
"The 25-year-old Serbia striker arrived at Celtic from Sporting Gijon on deadline day last August. But he has failed to become a first-team regular, making only one substitute appearance this season. And the arrival this summer of Nadir Ciftci from Dundee United was a further indication that the £2.3m signing's future may lie elsewhere. Scepovic has made 26 appearances for Celtic and scored six times.",Stefan Scepovic has left Celtic to join the Spanish La Liga club Getafe on a season-long loan deal.
"The 24-year-old Welshman, who competes in the F42 category, managed 16.14m with his penultimate throw against his able-bodied rivals, finishing fifth. It beat his previous best of 15.93m set at last year's championships. Davies is aiming to compete in the shot at the Rio Paralympics after his discus event was removed from the competition. The Bridgend man, who has limited functionality of his right leg with missing bones and no muscle or ligament growth, took gold in the discus at London 2012 and bronze in the shot and is the current European and world champion in both events.",Paralympic champion Aled Davies improved his own shot put world record at the British Indoor Championships in Sheffield.
